;us;n
d004.s000.t000;bank;n
;repay;v
d004.s000.t001;state;n
d004.s000.t002;support;n
d004.s001.t000;us;n
;major;a
d004.s001.t001;bank;n
;break;v
;free;a
d004.s001.t002;state;n
d004.s001.t003;shackle;n
d004.s002.t000;wednesday;n
;bank;n
;america;n
;repay;v
d004.s002.t001;support;n
d004.s002.t002;bank;n
d004.s002.t003;protection;n
d004.s002.t004;fund;n
;tarp;n
d004.s002.t005;amount;n
;nearly;r
;go;n
;accord;v
d004.s003.t000;report;n
d004.s003.t001;us;n
d004.s003.t002;broadcaster;n
;also;r
;plan;v
;repay;v
d004.s003.t003;state;n
d004.s003.t004;support;n
d004.s004.t000;institution;n
;thereby;r
;want;v
;wiggle;v
;free;a
d004.s004.t001;restriction;n
;go;v
d004.s004.t002;acceptance;n
d004.s004.t003;money;n
d004.s004.t004;limit;n
d004.s004.t005;manager;n
d004.s004.t006;bonus;n
;pay;v
;high;a
d004.s004.t007;charge;n
;bank;n
;america;n
;raise;v
d004.s005.t000;investor;n
;convertible;a
d004.s005.t001;loan;n
d004.s006.t000;rest;n
d004.s006.t001;amount;n
;take;v
d004.s006.t002;kitty;n
;well;r
;fill;v
d004.s006.t003;sale;n
d004.s006.t004;business;n
d004.s006.t005;unit;n
d004.s007.t000;bank;n
;head;n
;extend;v
;express;a
;thanks;n
;american;a
;taxpayer;n
;wednesday;n
;evening;n
;cash;n
;injection;n
;help;v
;difficult;a
;time;n
d004.s008.t000;bank;n
;overstretch;v
d004.s008.t001;height;n
;financial;a
d004.s008.t002;crisis;n
;take;v
d004.s008.t003;investment;n
d004.s008.t004;bank;n
;also;r
;plan;v
;raise;v
d004.s009.t000;cash;n
;capital;n
;market;n
;free;v
d004.s009.t001;liability;n
d004.s009.t002;state;n
;already;r
d004.s010.t000;thursday;n
d004.s010.t001;us;n
d004.s010.t002;bank;n
;able;a
;announce;v
d004.s010.t003;capital;n
d004.s010.t004;increase;n
;report;v
d004.s010.t005;reference;n
d004.s010.t006;circle;n
d004.s011.t000;spokesman;n
;decline;v
;comment;v
;goldman;n
;morgan;n
;chase;n
;morgan;n
;stanley;n
;already;r
;repay;v
d004.s012.t000;support;n
d004.s012.t001;june;n
