;tuesday;n
d001.s000.t000;rout;n
d001.s000.t001;congressional;a
d001.s000.t002;hopeful;n
d001.s000.t003;district;n
d001.s000.t004;back;v
d001.s000.t005;democratic;a
d001.s000.t006;presidential;a
d001.s000.t007;candidate;n
;stevenson;n
d001.s000.t008;reminder;n
;least;a
d001.s000.t009;federal;a
d001.s000.t010;level;n
d001.s000.t011;political;a
;ticket;n
d001.s000.t012;rise;n
d001.s000.t013;past;a
d001.s000.t014;half-century;n
d001.s001.t000;presidential;a
d001.s001.t001;election;n
d001.s001.t002;year;n
d001.s001.t003;percent;n
d001.s001.t004;nation;n
d001.s001.t005;congressional;a
d001.s001.t006;district;n
d001.s001.t007;choose;v
d001.s001.t008;different;a
d001.s001.t009;party;n
d001.s001.t010;candidate;n
;white;n
;house;n
;house;n
;representative;n
d001.s002.t000;percentage;n
;routinely;r
d001.s002.t001;equal;v
;third;a
;twice;r
d001.s002.t002;percent;n
d001.s003.t000;know;v
d001.s003.t001;voter;n
d001.s003.t002;tend;v
d001.s003.t003;favor;v
d001.s003.t004;republican;n
d001.s003.t005;race;n
d001.s003.t006;president;n
;congress;n
d001.s004.t000;presidential;a
d001.s004.t001;election;n
d001.s004.t002;past;a
d001.s004.t003;half-century;n
d001.s004.t004;presidential;a
d001.s004.t005;candidacy;n
d001.s004.t006;capture;v
;greater;a
d001.s004.t007;percentage;n
d001.s004.t008;major;a
d001.s004.t009;party;n
d001.s004.t010;popular;a
d001.s004.t011;vote;n
d001.s004.t012;president;n
d001.s004.t013;congressional;a
d001.s004.t014;seat;n
d001.s004.t015;popular;a
d001.s004.t016;vote;n
;congress;n
d001.s005.t000;pattern;n
;nearly;r
d001.s005.t001;opposite;n
d001.s006.t000;account;v
d001.s006.t001;result;n
d001.s006.t002;recent;a
d001.s006.t003;decade;n
d001.s007.t000;simple;a
d001.s007.t001;economic;a
d001.s007.t002;theory;n
d001.s007.t003;provide;v
;least;a
d001.s007.t004;partial;a
d001.s007.t005;explanation;n
d001.s007.t006;split_personality;n
d001.s007.t007;display;v
d001.s007.t008;american;n
d001.s007.t009;voting_booth;n
d001.s008.t000;theory;n
d001.s008.t001;rely;v
d001.s008.t002;assumption;n
d001.s009.t000;voter;n
d001.s009.t001;buy;v
d001.s009.t002;brand;n
d001.s009.t003;select;v
d001.s009.t004;political;a
d001.s009.t005;agent;n
d001.s009.t006;republican;a
d001.s009.t007;brand;n
d001.s009.t008;believe_in;v
d001.s009.t009;minimalist;a
d001.s009.t010;state;n
d001.s009.t011;virtue;n
d001.s009.t012;private;a
d001.s009.t013;market;n
d001.s009.t014;vice;n
d001.s009.t015;public;a
d001.s009.t016;action;n
d001.s009.t017;democratic;a
d001.s009.t018;brand;n
d001.s009.t019;believe_in;v
d001.s009.t020;big;a
d001.s009.t021;government;n
d001.s009.t022;public;a
d001.s009.t023;intervention;n
d001.s009.t024;remedy;v
d001.s009.t025;excess;n
d001.s009.t026;attendant;a
d001.s009.t027;pursuit;n
d001.s009.t028;private;a
d001.s009.t029;interest;n
d001.s010.t000;congressional;a
d001.s010.t001;representative;n
d001.s010.t002;have;v
d001.s010.t003;basic;a
d001.s010.t004;responsibility;n
d001.s010.t005;vote;v
d001.s010.t006;office;n
d001.s010.t007;deal;v
d001.s010.t008;national;a
d001.s010.t009;issue;n
d001.s010.t010;action;n
d001.s010.t011;cast;v
d001.s010.t012;roll_call;n
d001.s010.t013;vote;n
d001.s010.t014;legislation;n
d001.s010.t015;impose;v
d001.s010.t016;cost;n
d001.s010.t017;confer;v
d001.s010.t018;benefit;n
d001.s010.t019;population;n
;large;a
d001.s010.t020;attend_to;v
d001.s010.t021;local;a
d001.s010.t022;issue;n
d001.s010.t023;constituency;n
d001.s010.t024;service;n
d001.s010.t025;pork_barrel;n
d001.s011.t000;republican;a
d001.s011.t001;congressional;a
d001.s011.t002;representative;n
d001.s011.t003;belief;n
d001.s011.t004;minimalist;a
d001.s011.t005;state;n
;less;r
d001.s011.t006;willing;a
d001.s011.t007;engage;v
d001.s011.t008;local;a
d001.s011.t009;democratic;a
d001.s011.t010;member;n
;congress;n
d001.s012.t000;assumption;n
d001.s012.t001;hold;v
d001.s012.t002;voter;n
d001.s012.t003;race;n
;congress;n
d001.s012.t004;face;v
d001.s012.t005;economic;a
d001.s012.t006;theory;n
;call;v
;prisoner;n
;dilemma;n
d001.s012.t007;have;v
d001.s012.t008;incentive;n
d001.s012.t009;margin;n
d001.s012.t010;lean;v
d001.s012.t011;democratic;a
d001.s013.t000;put;v
;republican;n
d001.s013.t001;office;n
d001.s013.t002;acquire;v
;less;a
;term;n
d001.s013.t003;local;a
d001.s013.t004;benefit;n
;select;v
d001.s013.t005;legislator;n
;relatively;r
d001.s013.t006;powerless;a
d001.s013.t007;prevent;v
d001.s013.t008;other;a
d001.s013.t009;legislator;n
d001.s013.t010;bring;v
d001.s013.t011;home;n
;bacon;n
d001.s013.t012;respective;a
d001.s013.t013;constituency;n
d001.s014.t000;legislator;n
d001.s014.t001;come_to;v
d001.s014.t002;national;a
d001.s014.t003;policy;n
d001.s014.t004;making;n
d001.s015.t000;race;n
;white;n
;house;n
d001.s015.t001;voter;n
d001.s015.t002;incentive;n
d001.s015.t003;margin;n
d001.s015.t004;lean;v
;republican;n
d001.s016.t000;president;n
d001.s016.t001;limit;v
d001.s016.t002;local;a
d001.s016.t003;benefit;n
d001.s016.t004;voter;n
d001.s016.t005;particular;a
d001.s016.t006;district;n
d001.s016.t007;such;a
d001.s016.t008;president;n
;also;r
d001.s016.t009;likely;a
d001.s016.t010;effective;a
d001.s016.t011;prevent;v
d001.s016.t012;other;a
d001.s016.t013;district;n
d001.s016.t014;legislator;n
d001.s016.t015;bring_home;v
d001.s016.t016;local;a
d001.s016.t017;benefit;n
d001.s017.t000;individual;a
